Covidence #,DOI,Title,Authors,Published Year,Journal,Purpose,Vascular Disease/Procedure,Data Source,Period Start,Period end,Ground Truth,Image Type,Input,Output,Sample Size,Event Size,CV Architecture,Explainability?,Validation Method,Train/Test/Validate,Outcomes,External Validation Outcomes,Participants,Predictors,Outcomes_probast,Analysis,Overall,"Title (prediction, population, outcome)","Abstract  (objectives, design, predictors, outcome, stats, results)",Background (rationale),Objectives,Data (Source),Data (Dates),Participants (setting),Participants (eligibility),Paritcipants (treatments),Data Preparation (similar/diff b/w groups?),"Outcome (definition, timing)",Outcome (subjective),Outcome (blind),Analysis (use: eval of model performance?),Analysis (predictors handling: transforms etc.),"Analysis (model rationale, hyperparam)",Analysis (heterogeneity),Analysis (measures and plots),Analysis (model updating),Analysis (predictions calculation),Class Imbalance methods,Fairness,"Model Output (if classification, what threshold ID?)","Model specification (how to use, differences for healthcare)","Particiapants (number of participants with/without outcome, follow-up, ?diagram)","Participants (characteristics, number with missing data)","Model development (# of participants, event rate)","Model specification (formula, code, program)","Model performance (CI,)",Model updating (results),Interpretation,Limitations,Usability (poor input),Usability (interaction/expertise),Usability (future steps),Ethical approval,Funding,Conflicts of Intereset,Protocol,Registration,Data sharing,Code sharing,Patient and Public involvement,,,,,,,
#877,https://dx.doi.org/10.1016/j.compbiomed.2021.104721,Hybrid deep learning segmentation models for atherosclerotic plaque in internal carotid artery B-mode ultrasound.,"Jain, Pankaj K; Sharma, Neeraj; Giannopoulos, Argiris A; Saba, Luca; Nicolaides, Andrew; Suri, Jasjit S",2021,Computers in biology and medicine,Segmentation,Carotid stenosis,Prospective,N/A,N/A,1 expert,US,ICA B-mode US,Segmentation of plaque and wall. Then calculation of plaque area,99 (970 images),N/A,"Ensemble: 10, UNet, UNet+, SegNet, SegNet-UNet, and SegNet-UNet+",0,10-fold cross validation,90/10',"AUC=0.90, correlation coeff=0.97, ",0,l,l,l,l,l,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,,,,,
#887,https://dx.doi.org/10.1016/j.ultrasmedbio.2021.05.023,Deep Learning-Based Carotid Plaque Segmentation from B-Mode Ultrasound Images.,"Zhou, Ran; Azarpazhooh, M Reza; Spence, J David; Hashemi, Samineh; Ma, Wei; Cheng, Xinyao; Gan, Haitao; Ding, Mingyue; Fenster, Aaron",2021,Ultrasound in medicine & biology,Segmentation,Carotid stenosis,Public,NR,NR,2 experts,US,B-mode US of cartoa,Segmentation of plaque. Then calculate TPA ,144,N/A,Unet,0,NR,67/33',TPA=0.8 mm^2. ,0,u,l,l,h,h,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,,,,,,,
#893,https://dx.doi.org/10.1109/TUFFC.2021.3090461,A Generalized Approach for Automatic 3-D Geometry Assessment of Blood Vessels in Transverse Ultrasound Images Using Convolutional Neural Networks.,"de Ruijter, Joerik; Muijsers, Judith J M; van de Vosse, Frans N; van Sambeek, Marc R H M; Lopata, Richard G P",2021,"IEEE transactions on ultrasonics, ferroelectrics, and frequency control",Segmentation,General (vessel segmentation),Public,NR,NR,"Semi-automatic, 1 expert",US,"Transverse:  common, internal, and external carotid artery (N = 37), in the radial, ulnar artery, and cephalic vein (N = 12), and in the femoral artery",Vessel lumen segmentation,36000 images,N/A,"Unet",0,5-fold cross validation,80/20,"DC=0.9311, IoU=0.9907",0,h,l,h,l,h,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,,,,,,
#896,https://dx.doi.org/10.1016/j.compbiomed.2021.104536,Multiclass wound image classification using an ensemble deep CNN-based classifier.,"Rostami, Behrouz; Anisuzzaman, D M; Wang, Chuanbo; Gopalakrishnan, Sandeep; Niezgoda, Jeffrey; Yu, Zeyun",2021,Computers in biology and medicine,Diagnosis,Leg ulcer ,Retropsective,2019,2021,NR,Skin images,Foot skin images,"Classification: ,diabetic, venous, pressure, surgical, background, and normal skin",400,N/A,CNN+MLP,0,5-fold cross validation,80/20,acc=0.89,1,h,l,l,h,h,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,,,,,,,
#908,https://dx.doi.org/10.1016/j.compbiomed.2021.104344,Semi-automatic vessel detection for challenging cases of peripheral arterial disease.,"Mistelbauer, Gabriel; Morar, Anca; Schernthaner, Rudiger; Strassl, Andreas; Fleischmann, Dominik; Moldoveanu, Florica; Groller, M Eduard",2021,Computers in biology and medicine,Segmentation,PAD,Prospective,NR,NR,Radiologist,CTA ,CTA,Vessel segmentation in PAD (with discontinuities),24,N/A,NR,0,NR,NR,Not well recorded,0,h,l,h,h,h,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
#915,https://dx.doi.org/10.3390/s21030934,Segmentation Approaches for Diabetic Foot Disorders.,"Arteaga-Marrero, Natalia; Hernandez, Abian; Villa, Enrique; Gonzalez-Perez, Sara; Luque, Carlos; Ruiz-Alzola, Juan",2021,"Sensors (Basel, Switzerland)",Segmentation,Diabetic Foot,Prospective,N/A,N/A,2 experts,Skin images and infrared,,Segmentation of foot,37 (74 images),N/A,Unet,0,NR,67/33,DC=0.90,0,l,l,l,h,h,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#931,https://dx.doi.org/10.1186/s12880-021-00568-6,Automated segmentation of the individual branches of the carotid arteries in contrast-enhanced MR angiography using DeepMedic.,"Ziegler, Magnus; Alfraeus, Jesper; Bustamante, Mariana; Good, Elin; Engvall, Jan; de Muinck, Ebo; Dyverfeldt, Petter",2021,BMC medical imaging,Segmentation,Carotid stenosis,Retrospective (multi),NR,NR,2 experts,MRA  ,MRA of neck,"Semgnetation of CCA, ICA and ECA",268,N/A,CNN (Pretrained),0,NR,85/15,"DC=0.80, Correlation coeff=0.80",0,l,l,l,l,l,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,,,,,,,
#933,https://dx.doi.org/10.1016/j.media.2020.101931,Multi-stage learning for segmentation of aortic dissections using a prior aortic anatomy simplification.,"Chen, Duanduan; Zhang, Xuyang; Mei, Yuqian; Liao, Fangzhou; Xu, Huanming; Li, Zhenfeng; Xiao, Qianjiang; Guo, Wei; Zhang, Hongkun; Yan, Tianyi; Xiong, Jiang; Ventikos, Yiannis",2021,Medical image analysis,Segmentation,Type B Aortic Dissection,Retrospective (multi),NR,NR,1 expert,CTA,CTA of dissection,"Segmentation of TL, FL, and branches",120,,Custom CNN,0,6-fold cross validation,67/17/17,DC=0.94  ,0,l,l,l,l,l,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,,,,,,,
#941,https://dx.doi.org/10.1016/j.ejrad.2021.109528,Deep learning-based classification of lower extremity arterial stenosis in computed tomography angiography.,"Dai, Lisong; Zhou, Quan; Zhou, Hongmei; Zhang, Huijuan; Cheng, Panpan; Ding, Mingyue; Xu, Xiangyang; Zhang, Xuming",2021,European journal of radiology,Diagnosis,PAD,Retrospective,2016,2019,2 radiologists on DSA,CTA,"CTA of iliac, fempop, infrapop ","Classification: 5 classses of stenosis (0, 1-50, 51-69, 70-99, 100)",17050 images ,N/A,Custome CNN ,0,NR,85.5/5/9.5,"acc=0.915, AUROC=0.987, sens=0.902, spec=0.977",0,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,,,,,,,
#957,https://dx.doi.org/10.3348/kjr.2020.0313,A Three-Dimensional Deep Convolutional Neural Network for Automatic Segmentation and Diameter Measurement of Type B Aortic Dissection.,"Yu, Yitong; Gao, Yang; Wei, Jianyong; Liao, Fangzhou; Xiao, Qianjiang; Zhang, Jie; Yin, Weihua; Lu, Bin",2021,Korean journal of radiology,Segmentation+Quantification,Type B Aortic Dissection,Retrospective (single),2016,2019,4 radiologist,CTA,CTA of aorta,"Segmentation of aorta, TL, FL",139,N/A,Unet,0,N/A,70/20.10,"DC=0.95, MAD=0.042 mm",0,l,l,l,h,h,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,,,,
#976,https://dx.doi.org/10.1007/s00330-020-07213-w,Deep learning algorithm for detection of aortic dissection on non-contrast-enhanced CT.,"Hata, Akinori; Yanagawa, Masahiro; Yamagata, Kazuki; Suzuki, Yuuki; Kido, Shoji; Kawata, Atsushi; Doi, Shuhei; Yoshida, Yuriko; Miyata, Tomo; Tsubamoto, Mitsuko; Kikuchi, Noriko; Tomiyama, Noriyuki",2021,European radiology,Diagnosis,Aoritc dissection  ,Retrospective (single),2019,2019,5 Radiologists (on NCCT and CECT),NCCT,NCCT of aorta,Classification: AD or not,170,85,Xception,0,5-fold cross validation,80/20,"AUROC=0.94, acc=0.90, sens=0.918, spec=0.882",0,l,l,l,h,h,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,,,,,,,
#987,https://dx.doi.org/10.1038/s41598-020-74936-7,Machine learning for endoleak detection after endovascular aortic repair.,"Talebi, Salmonn; Madani, Mohammad H; Madani, Ali; Chien, Ashley; Shen, Jody; Mastrodicasa, Domenico; Fleischmann, Dominik; Chan, Frandics P; Mofrad, Mohammad R K",2020,Scientific reports,Segmentation->Diagnosis,EVAR (endoleaks),Retropsective,NR,NR,"radiology report, 4 radiologist for segmentation",CTA,CTA of aorta post EVAR,Segmentation of endoleak followed by diagnosis of endoleak,70,50,Unet,0,NR,40/10/20',"acc=0.95, precision=0.90, recall=1",0,u,l,l,l,u,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,,,,,,,
#990,https://dx.doi.org/10.1007/s13239-020-00481-z,3D Automatic Segmentation of Aortic Computed Tomography Angiography Combining Multi-View 2D Convolutional Neural Networks.,"Fantazzini, Alice; Esposito, Mario; Finotello, Alice; Auricchio, Ferdinando; Pane, Bianca; Basso, Curzio; Spinella, Giovanni; Conti, Michele",2020,Cardiovascular engineering and technology,Segmentation,General (aorta),Prospective ,N/A,N/A,1 radiologist,CTA,CTA of aorta,"Segmentation of aortic lumen (ascending aorta to iliac arteries). 3 segmentations in axial, sagittal and coronal planes",80,n/A,Unet,0,NR,80/13/7,"DC=0.92, time reduction=0.12",0,l,l,l,h,h,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,,,,,,,
#998,https://dx.doi.org/10.12968/jowc.2020.29.12.692,AI technology for remote clinical assessment and monitoring.,"Zoppo, Gianluca; Marrone, Francesco; Pittarello, Monica; Farina, Marco; Uberti, Alberto; Demarchi, Danilo; Secco, Jacopo; Corinto, Fernando; Ricci, Elia",2020,Journal of wound care,Diagnosis,Leg ulcer ,Clinical Trial (non-randomized),N/A,N/A,Visual evalulation by physician/research,Skin images + IR,Leg skin images,"Classification: venous/arterial ulcer, diabetic foot, pressure ulcer",150,N/A,Ensemble: 4 aaps applying AI somehow ,,NR,NR ,acc=0.97,0,l,l,u,h,h,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,
#999,https://dx.doi.org/10.1038/s41598-020-78799-w,Fully automatic wound segmentation with deep convolutional neural networks.,"Wang, Chuanbo; Anisuzzaman, D M; Williamson, Victor; Dhar, Mrinal Kanti; Rostami, Behrouz; Niezgoda, Jeffrey; Gopalakrishnan, Sandeep; Yu, Zeyun",2020,Scientific reports,Segmentation,Foot ulcer,Retrospective (single),2018,2020,1 expert,Skin image,Skin images of feet,"Segmentatino of wound (diabetic, venous, pressure)",889 (1109 images),N/A,MobileNet,0,NR,90/10',"DC=0.905, ",0,l,l,l,h,h,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,,,,,,,
#1006,https://dx.doi.org/10.1109/EMBC44109.2020.9176532,A deep learning oriented method for automated 3D reconstruction of carotid arterial trees from MR imaging.,"Tsakanikas, Vassilis D; Siogkas, Panagiotis K; Mantzaris, Michalis D; Potsika, Vassiliki T; Kigka, Vassiliki I; Exarchos, Themis P; Koncar, Igor B; Jovanovic, Marija; Vujcic, Aleksandra; Ducic, Stefan; Pelisek, Jaroslav; Fotiadis, Dimitrios I",2020,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,Segmentation,Carotid stenosis,Public (2 datasets),N/A,N/A,Specialists,MRA  ,MRA of neck ,Segmentation of carotid  ,30,N/A,Unet,0,NR,NR,acc=0.96,0,u,l,h,h,h,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,,,,,,,
#1007,https://dx.doi.org/10.1109/EMBC44109.2020.9176282,Detecting Carotid Intima-Media From Small-Sample Ultrasound Images.,"Mi, Shiyu; Wei, Zhanghong; Xu, Jinfeng; Yu, Zijun; Yang, Wenming; Liao, Qingmin",2020,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,Segmentation,Carotid stenosis,Retrospective (single),N/A,N/A,NR,US,US longitudinal,ROI for patch. Segmentation of LIB,23,N/A,CNN,0,NR,20/3',Acc=0.86,0,h,l,h,h,h,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
#1018,https://dx.doi.org/10.1016/j.compbiomed.2020.103958,3-D optimized classification and characterization artificial intelligence paradigm for cardiovascular/stroke risk stratification using carotid ultrasound-based delineated plaque: Atheromatic TM 2.0.,"Skandha, Sanagala S; Gupta, Suneet K; Saba, Luca; Koppula, Vijaya K; Johri, Amer M; Khanna, Narendra N; Mavrogeni, Sophie; Laird, John R; Pareek, Gyan; Miner, Martin; Sfikakis, Petros P; Protogerou, Athanasios; Misra, Durga P; Agarwal, Vikas; Sharma, Aditya M; Viswanathan, Vijay; Rathore, Vijay S; Turk, Monika; Kolluri, Raghu; Viskovic, Klaudija; Cuadrado-Godia, Elisa; Kitas, George D; Nicolaides, Andrew; Suri, Jasjit S",2020,Computers in biology and medicine,Diagnosis,Carotid stenosis,Prospective,N/A,N/A,1 clinician,US,Carotid US,Classification: sx or asx,346,196,"Ensemble: DCNN, VGG16, tCNN",0,10-fold cross validation,90/10',AUROC=0.9566,0,l,l,l,l,l,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,,,,,,,
#1019,https://dx.doi.org/10.1177/0161734620951216,Deep Learning for Carotid Plaque Segmentation using a Dilated U-Net Architecture.,"Meshram, Nirvedh H; Mitchell, Carol C; Wilbrand, Stephanie; Dempsey, Robert J; Varghese, Tomy",2020,Ultrasonic imaging,Segmentation,Carotid stenosis,Retrospective (single),NR,NR,Sonographer,US,US,Segmentation of carotid plaque (use bounding box to help),101,N/A,Unet,0,NR,90/10',DC=0.84,0,u,l,l,l,u,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,,,,,,,
#1054,https://dx.doi.org/10.3390/s20061762,Deep Learning Classification for Diabetic Foot Thermograms.,"Cruz-Vega, Israel; Hernandez-Contreras, Daniel; Peregrina-Barreto, Hayde; Rangel-Magdaleno, Jose de Jesus; Ramirez-Cortes, Juan Manuel",2020,"Sensors (Basel, Switzerland)",Diagnosis,Diabetic Foot,Public,NR,NR,validated scoring (TCI),Thermogram,Foot thermograms,Classficiaiont: 5 TCI classes. Also had ROI detection,110,N/A,"Ensemble: AlexNet, GoogleNet, MLP, SVM",,10-fold cross validation,70/30',"sens=0.89,, spec=0.85, prec=0.85, acc=0.87, f1=0.87, auc=0.89",0,h,l,u,h,h,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,,,,,,,
#1073,https://dx.doi.org/10.1016/j.artmed.2019.101784,Semantic segmentation with DenseNets for carotid artery ultrasound plaque segmentation and CIMT estimation.,"Vila, Maria Del Mar; Remeseiro, Beatriz; Grau, Maria; Elosua, Roberto; Betriu, Angels; Fernandez-Giraldez, Elvira; Igual, Laura",2020,Artificial intelligence in medicine,Segmentation and Quantification,Carotid stenosis,Public,2007,2010,Public (1 expert),US (CCA and bulb),US at 1/2 month follow-up to detect stenosis,"Segmentation of carotid: near wall, bulb, lumn, CIM bulb, CIM, far wall. Then calculation of CIMT",800,,Dense CNN,0,NR,90/10',"correlation coeff=0.81, mean error=0.04, acc=0.87",1,l,l,l,h,h,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,,,,,,,
#1077,https://dx.doi.org/10.1016/j.compbiomed.2020.103616,Recognition of ischaemia and infection in diabetic foot ulcers: Dataset and techniques.,"Goyal, Manu; Reeves, Neil D; Rajbhandari, Satyan; Ahmad, Naseer; Wang, Chuan; Yap, Moi Hoon",2020,Computers in biology and medicine,Diagnosis,Diabetic foot,Retropsective,2015,2020,2 clinicians,Skin images,Foot images,"Classficiation: infection vs. not, ischemia vs not",1459,N/A,CNN,0,5-fold cross validation,70/20/10,acc=0.82,0,l,l,l,h,h,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,,,,,,,
#1085,https://dx.doi.org/10.1109/JBHI.2020.2965088,Bimodal Automated Carotid Ultrasound Segmentation Using Geometrically Constrained Deep Neural Networks.,"Azzopardi, Carl; Camilleri, Kenneth P; Hicks, Yulia A",2020,IEEE journal of biomedical and health informatics,Segmentation,Carotid stenosis,Prospective,N/A,N/A,2 radiologists,US,Carotid US,Segmentation of LIB and MAB,15 (50 images),,Unet,0,NR,66/33,DC=0.94,0,l,l,l,h,h,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,,,,,,,
#1099,https://dx.doi.org/10.1016/j.medengphy.2019.10.005,Computing patient-specific hemodynamics in stented femoral artery models obtained from computed tomography using a validated 3D reconstruction method.,"Colombo, Monika; Bologna, Marco; Garbey, Marc; Berceli, Scott; He, Yong; Rodriguez Matas, Jose Felix; Migliavacca, Francesco; Chiastra, Claudio",2020,Medical engineering & physics,Segmentation,PAD (femoral),Simulated dataset (phantom),N/A,N/A,Phantom,CTA ,CTA,"Segmentation of lumen, removal of calcilation and thrombus, extraction of lumen. Overall, want ot get the stent",2,N/A,Custom CNN,0,NR,NR,Not well recorded,0,u,l,l,u,u,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,,,,
#1115,https://dx.doi.org/10.1002/mp.13739,Deep morphology aided diagnosis network for segmentation of carotid artery vessel wall and diagnosis of carotid atherosclerosis on black-blood vessel wall MRI.,"Wu, Jiayi; Xin, Jingmin; Yang, Xiaofeng; Sun, Jie; Xu, Dongxiang; Zheng, Nanning; Yuan, Chun",2019,Medical physics,Segmentation + Diagnosis ,Carotid stenosis,Public,NR,NR,Radiologist,MRI  ,MRI of neck,Segmentation of vessel wall and black-blood. Diagnosis of stenosis (Classificiaiont: ),1057,N/A,CNN+Unet,0,NR,90/10',"DC=0.96, acc=0.92",0,u,l,l,u,u,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,,,,,,,
#1119,https://dx.doi.org/10.1007/s10916-019-1406-2,Classification of Carotid Artery Intima Media Thickness Ultrasound Images with Deep Learning.,"Savas, Serkan; Topaloglu, Nurettin; Kazci, Omer; Kosar, Pinar Nercis",2019,Journal of medical systems,Segmentation + Quantification,Carotid stenosis,Retrospective (single),2018,2019,2 experts,US,Carotid US,"Classificiation: IMT (0, 1)",153 (501 images),N/A,Deeop neural network,0,NR,80/20',"acc=0.891, sens=0.89, spec=0.88",0,l,l,l,h,h,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,
#1125,https://dx.doi.org/10.1007/s13239-019-00421-6,"Automatic Segmentation, Detection, and Diagnosis of Abdominal Aortic Aneurysm (AAA) Using Convolutional Neural Networks and Hough Circles Algorithm.","Mohammadi, Saba; Mohammadi, Mahdi; Dehlaghi, Vahab; Ahmadi, Arash",2019,Cardiovascular engineering and technology,Segmentation+Diagnosis,AAA ,Prospective,N/A,N/A,NR,CT,NCCT,"Segmentation of abdo into 4 classes (aorta, body border bone, abdo inside region). (NON-ML) 2. Define edge + measure diam (hough circle algo). Classification into no risk AAA, med risk, high risk",10 (5800 images),2,Custom CNN  ,0,5-fold cross validation,65/25/15,"acc=0.9793, prec=0.9794, sens=0.9793, (diagnosis) acc=0.9833",0,l,l,h,h,h,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,,,,,,,
#1134,https://dx.doi.org/10.1002/mp.13581,Deep learning-based carotid media-adventitia and lumen-intima boundary segmentation from three-dimensional ultrasound images.,"Zhou, Ran; Fenster, Aaron; Xia, Yujiao; Spence, J David; Ding, Mingyue",2019,Medical physics,Segmentation,Carotid stenosis,Retropsective,NR,NR,1 expert,US,3D US of carotid,Semgnation of MAB and LIB,38 (144 pts),,Custom CNN+Unet,,3-fold cross validation,75/25,DC=0.94,0,l,l,h,u,h,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,,,,,,,
#1140,https://dx.doi.org/10.1016/j.mri.2019.04.001,Plaque components segmentation in carotid artery on simultaneous non-contrast angiography and intraplaque hemorrhage imaging using machine learning.,"Zhang, Qiang; Qiao, Huiyu; Dou, Jiaqi; Sui, Binbin; Zhao, Xihai; Chen, Zhensen; Wang, Yishi; Chen, Shuo; Lin, Mingquan; Chiu, Bernard; Yuan, Chun; Li, Rui; Chen, Huijun",2019,Magnetic resonance imaging,Segmentation,Carotid stenosis,Retrospective (single),NR,NR,2 radiologists,CT ,SNAP: Simultaneous Non-contrast Angiography and intraPlaque Hemorrhage (SNAP) ,"Semgentation of Lipid-rich necrotic core, intraplaque hemorrahge, calcification, fibrous tissue",68,N/A,"Ensemble: NB, SVM, RF, ANN ",0,10-fold cross validation,90/10',"Acc=0.88, correlation coeff=0.82, ",0,l,l,l,h,h,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,
#1159,https://dx.doi.org/10.1109/JBHI.2018.2868656,Robust Methods for Real-Time Diabetic Foot Ulcer Detection and Localization on Mobile Devices.,"Goyal, Manu; Reeves, Neil D; Rajbhandari, Satyan; Yap, Moi Hoon",2019,IEEE journal of biomedical and health informatics,Segmentation ,Diabetic Foot,Retrospective (single),NR,NR,2 experts,Skin images,Foot images,Bounding boxes around each ulcer,1775,N/A,RCNN+Inception,0,5-fold cross validation,80/20,precision=0.918,0,l,l,l,h,h,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,,,,,,,
#1168,https://dx.doi.org/10.1109/EMBC.2019.8856855,Automated Diagnosis of Cardiovascular Disease Through Measurement of Intima Media Thickness Using Deep Neural Networks.,"Rajasekaran, C; Jayanthi, K B; Sudha, S; Kuchelar, Ramani",2019,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,Diagnosis + Quantification,Carotid stenosis,Prospective,N/A,N/A,Radiologist,US,B-mode US ,Detection of ROI (intima media complex) followed by segmentation (LIB and MAB estimation with distance maps to compute IMT),261 9450 images),N/A,Custom CNN,0,10-fold cross validation,90/10',"acc=0.9954, mean deviation=0.06645 mm, acc=0.9833",0,h,l,l,h,h,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,,,,,,,
#1170,https://dx.doi.org/10.1109/EMBC.2019.8856665,Diabetic Wound Segmentation using Convolutional Neural Networks.,"Cui, Can; Thurnhofer-Hemsi, Karl; Soroushmehr, Reza; Mishra, Abinash; Gryak, Jonathan; Dominguez, Enrique; Najarian, Kayvan; Lopez-Rubio, Ezequiel",2019,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,Segmentation,Diabetic Foot,Retrospective,NR,NR,NR,Skin image,Foot images,Wound segmentation to achieve a probability map. Automatic calculation to extract segmentation,445,N/A,CNN,0,4-fold cross validation,66/22/11,"prec=0.722, sens=0.9, spec=0.947, IoU=0.66, DC=0.77, ",0,h,l,l,h,h,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
