Reason, Covidence #, DOI, Title, Authors, Published Year, Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7456,10.1016/j.compmedimag.2011.06.007,Ultrasound intima-media segmentation using Hough transform and dual snake model,"Xu, XY; Zhou, Y; Cheng, XY; Song, EM; Li, GK",2012,COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7469,10.1016/j.compbiomed.2023.107092,BSMNet: Boundary-salience multi-branch network for intima-media identification in carotid ultrasound images,"Zhou, GQ; Wei, H; Wang, XY; Wang, KN; Chen, YZ; Xiong, F; Ren, GQ; Liu, CY; Li, L; Huang, QH",2023,COMPUTERS IN BIOLOGY AND MEDICINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7471,10.1166/jmihi.2011.1016,CARES 2.0: Completely Automated Robust Edge Snapper for CIMT Measurement in 300 Ultrasound Images-A Two Stage Paradigm,"Molinari, F; Acharya, UR; Zeng, G; Meiburger, KM; Rodrigues, PS; Saba, L; Suri, JS",2011,JOURNAL OF MEDICAL IMAGING AND HEALTH INFORMATICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7502,,A joint Snake and Atlas-based segmentation of plantar foot thermal images,"IEEE; Bougrine, A; Harba, R; Canals, R; Ledee, R; Jabloun, M",2017,"PROCEEDINGS OF THE 2017 SEVENTH INTERNATIONAL CONFERENCE ON IMAGE PROCESSING THEORY, TOOLS AND APPLICATIONS (IPTA 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7504,10.1016/j.bspc.2014.08.012,Frequency-domain active contours solution to evaluate intima-media thickness of the common carotid artery,"Bastida-Jumilla, MC; Menchón-Lara, RM; Morales-Sánchez, J; Verdú-Monedero, R; Larrey-Ruiz, J; Sancho-Gómez, JL",2015,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7505,,Assessment of Stroke Risk Based on Morphological Ultrasound Image Analysis with Conformal Prediction,"Lambrou, A; Papadopoulos, H; Kyriacou, E; Pattichis, CS; Pattichis, MS; Gammerman, A; Nicolaides, A",2010,ARTIFICIAL INTELLIGENCE APPLICATIONS AND INNOVATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7506,,The Carotid Intimal-media Thickness Measurement of Ultrasound Images Based on an Improved Chan-Vese Model,"IEEE; Yang, G; Zhang, YN",2012,PROCEEDING OF THE IEEE INTERNATIONAL CONFERENCE ON INFORMATION AND AUTOMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7512,10.1109/TBME.2012.2214387,Segmentation of the Common Carotid Intima-Media Complex in Ultrasound Images Using Active Contours,"Petroudi, S; Loizou, C; Pantziaris, M; Pattichis, C",2012,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7513,10.1117/12.912365,Three-dimensional semi-automated segmentation of carotid atherosclerosis from three-dimensional ultrasound images,"Ukwatta, E; Awad, J; Buchanan, D; Parraga, G; Fenster, A",2012,MEDICAL IMAGING 2012: COMPUTER-AIDED DIAGNOSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7518,10.4028/www.scientific.net/AMM.422.165,Detection of Intima-media Thickness in Common Carotid Artery on Ultrasound Image,"He, XW",2013,INFORMATION ENGINEERING FOR MECHANICS AND MATERIALS RESEARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7539,10.1142/S0218213012400167,EVALUATION OF THE RISK OF STROKE WITH CONFIDENCE PREDICTIONS BASED ON ULTRASOUND CAROTID IMAGE ANALYSIS,"Lambrou, A; Papadopoulos, H; Kyriacou, E; Pattichis, CS; Pattichis, MS; Gammerman, A; Nicolaides, A",2012,INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7542,10.1007/s11548-013-0924-5,Automated aorta segmentation in low-dose chest CT images,"Xie, YT; Padgett, J; Biancardi, AM; Reeves, AP",2014,INTERNATIONAL JOURNAL OF COMPUTER ASSISTED RADIOLOGY AND SURGERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7553,10.1016/j.media.2012.05.010,Segmentation and quantification of the aortic arch using joint 3D model-based segmentation and elastic image registration,"Biesdorf, A; Rohr, K; Feng, D; von Tengg-Kobligk, H; Rengier, F; Böckler, D; Kauczor, HU; Wörz, S",2012,MEDICAL IMAGE ANALYSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7557,10.1117/12.2254101,Automatic Segmentation of Vessels in In-Vivo Ultrasound Scans,"Tamimi-Sarnikowski, P; Brink-Kjær, A; Moshavegh, R; Jensen, JA",2017,"MEDICAL IMAGING 2017: BIOMEDICAL APPLICATIONS IN MOLECULAR, STRUCTURAL, AND FUNCTIONAL IMAGING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7562,10.1016/j.ultrasmedbio.2009.12.007,AUTOMATIC LOCALIZATION OF INTIMAL AND ADVENTITIAL CAROTID ARTERY LAYERS WITH NONINVASIVE ULTRASOUND: A NOVEL ALGORITHM PROVIDING SCAN QUALITY CONTROL,"Rossi, AC; Brands, PJ; Hoeks, APG",2010,ULTRASOUND IN MEDICINE AND BIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7567,10.1007/s10278-012-9481-7,Segmentation of the Common Carotid Artery Walls Based on a Frequency Implementation of Active Contours,"Bastida-Jumilla, MC; Menchón-Lara, RM; Morales-Sánchez, J; Verdú-Monedero, R; Larrey-Ruiz, J; Sancho-Gómez, JL",2013,JOURNAL OF DIGITAL IMAGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7596,10.1007/s10278-008-9131-2,Computer Vision Approach for Ultrasound Doppler Angle Estimation,"Saad, AA; Loupas, T; Shapiro, LG",2009,JOURNAL OF DIGITAL IMAGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7605,10.1111/j.1365-2796.2011.02422.x,Manual or semi-automated edge detection of the maximal far wall common carotid intima-media thickness: a direct comparison,"METEOR Study Grp; Peters, SAE; den Ruijter, HM; Palmer, MK; Grobbee, DE; Crouse, JR; O'Leary, DH; Evans, GW; Raichlen, JS; Lind, L; Bots, ML",2012,JOURNAL OF INTERNAL MEDICINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7609,10.1109/TMI.2003.809081,Localization and segmentation of aortic endografts using marker detection,"de Bruijne, M; Niessen, WJ; Maintz, JBA; Viergever, MA",2003,IEEE TRANSACTIONS ON MEDICAL IMAGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7615,10.1118/1.3438476,Fast-marching segmentation of three-dimensional intravascular ultrasound images: A pre- and post-intervention study,"Cardinal, MHR; Soulez, G; Tardif, JC; Meunier, J; Cloutier, G",2010,MEDICAL PHYSICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7664,10.1117/12.2212046,Wound size measurement of lower extremity ulcers using segmentation algorithms,"Dadkhah, A; Pang, X; Solis, E; Fang, RG; Godavarty, A",2016,OPTICAL BIOPSY XIV: TOWARD REAL-TIME SPECTROSCOPIC IMAGING AND DIAGNOSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7753,10.1016/j.infrared.2023.104678,Near-infrared vascular image segmentation using improved level set method,"Li, YJ; Liu, HT; Tian, Z; Geng, WJ",2023,INFRARED PHYSICS & TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7754,10.1016/j.engappai.2023.106069,Extraction of vascular wall in carotid ultrasound via a novel boundary-delineation network,"Huang, QH; Jia, LZ; Ren, GQ; Wang, XY; Liu, CY",2023,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#6891,,Segmentation of Abdominal Aortic Aneurysms in CT Images Using a Radial Model Approach,"Macía, I; Legarreta, JH; Paloc, C; Graña, M; Maiora, J; García, G; de Blas, M",2009,"INTELLIGENT DATA ENGINEERING AND AUTOMATED LEARNING, PROCEEDINGS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#3517,https://dx.doi.org/10.2174/1573405614666180402124438,Despeckling of carotid artery ultrasound images with a calculus approach,Latha S.; Samiappan D. ,2019,Current Medical Imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#3608,https://dx.doi.org/10.1016/j.bspc.2017.08.009,Segmentation of intima media complex from carotid ultrasound images using wind driven optimization technique,Nagaraj Y.; Madipalli P.; Rajan J.; Kumar P.K.; Narasimhadhan A.V. ,2018,Biomedical Signal Processing and Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#3701,,Intima-media thickness segmentation using weighted graph based active contour technique,Ashokkumar L.; Rajendran P. ,2017,Biomedical Research (India),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#3261,https://dx.doi.org/10.31838/jcdr.2021.12.04.57,Automated technique for carotid plaque characterization and classification using RDWT in ultrasound images,Kulkarni A.; Shashidhar S.M. ,2021,Journal of Cardiovascular Disease Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#3388,https://dx.doi.org/10.1080/21681163.2019.1692235,3D reconstruction of carotid artery in B-mode ultrasound image using modified template matching based on ellipse feature,Sunarya I.M.G.; Yuniarno E.M.; Sardjono T.A.; Sunu I.; van Ooijen P.M.A.; Purnama I.K.E. ,2020,Computer Methods in Biomechanics and Biomedical Engineering: Imaging and Visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#2909,https://dx.doi.org/10.1016/j.bspc.2022.104054,Application of non-contact thermography as a screening modality for Diabetic Foot Syndrome - A real time cross sectional research outcome,Christy Evangeline N.; Srinivasan S.; Suresh E. ,2023,Biomedical Signal Processing and Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#2923,https://dx.doi.org/10.47750/pnr.2022.13.S06.298,Fuzzy C means based approach for analysis of Varicose Veins,Mirunalini S.; Jeyalakshmi C.; Muralikrishnan P. ,2022,Journal of Pharmaceutical Negative Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#2977,https://dx.doi.org/10.1016/j.bbe.2022.09.002,Quantification of the ilio-femoral arteries tortuosity and data cluster modelling for preoperative examination,Markiewicz T.; Dziekiewicz M. ,2022,Biocybernetics and Biomedical Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#3025,https://dx.doi.org/10.1109/TMI.2022.3150005,Segmentation of the True Lumen of Aorta Dissection via Morphology-Constrained Stepwise Deep Mesh Regression,Zhao J.; Pang S.; Feng Q. ,2022,IEEE Transactions on Medical Imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#3043,https://dx.doi.org/10.1016/j.cmpb.2022.106954,An end-to-end framework for intima media measurement and atherosclerotic plaque detection in the carotid artery,Gago L.; Vila M.D.M.; Grau M.; Remeseiro B.; Igual L. ,2022,Computer Methods and Programs in Biomedicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#3099,https://dx.doi.org/10.1016/j.bbe.2022.03.001,Fourier transform-based data augmentation in deep learning for diabetic foot thermograph classification,Anaya-Isaza A.; Zequera-Diaz M. ,2022,Biocybernetics and Biomedical Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#3129,https://dx.doi.org/10.1080/21681163.2021.2004444,Automated technique for carotid plaque characterisation and classification using RDWT in ultrasound images,Mailerum Perumal A.; Balaji G.N.; Dhiviya Rose J.; Kulkarni A.; Shajin F.H. ,2022,Computer Methods in Biomechanics and Biomedical Engineering: Imaging and Visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#3723,https://dx.doi.org/10.1166/jmihi.2017.2082,Convolutional neural network based clustering and manifold learning method for diabetic plantar pressure imaging dataset,Li Z.; Dey N.; Ashour A.S.; Cao L.; Wang Y.; Wang D.; McCauley P.; Balas V.E.; Shi K.; Shi F. ,2017,Journal of Medical Imaging and Health Informatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#3725,https://dx.doi.org/10.1007/s40846-017-0233-5,A Novel Segmentation Approach for Intravascular Ultrasound Images,Yan J.; Lv D.; Cui Y. ,2017,Journal of Medical and Biological Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#3811,https://dx.doi.org/10.1016/j.neucom.2014.10.027,Robust fuzzy RBF network based image segmentation and intelligent decision making system for carotid artery ultrasound images,Alam J.; Hassan M.; Khan A.; Chaudhry A. ,2015,Neurocomputing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#3841,https://dx.doi.org/10.1016/j.cmpb.2014.04.004,Automatic detection of the carotid lumen axis in B-mode ultrasound images,Rocha R.; Silva J.; Campilho A. ,2014,Computer Methods and Programs in Biomedicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#3849,https://dx.doi.org/10.1016/j.neucom.2013.01.051,Random forest active learning for AAA thrombus segmentation in computed tomography angiography images,Maiora J.; Ayerdi B.; Grana M. ,2014,Neurocomputing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#3874,https://dx.doi.org/10.1016/j.ultrasmedbio.2013.04.013,Novel Method for Localization of Common Carotid Artery Transverse Section in Ultrasound Images Using Modified Viola-Jones Detector,Riha K.; Masek J.; Burget R.; Benes R.; Zavodna E. ,2013,Ultrasound in Medicine and Biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#3879,https://dx.doi.org/10.1109/TMI.2013.2237784,3-D carotid multi-region MRI segmentation by globally optimal evolution of coupled surfaces,Ukwatta E.; Yuan J.; Rajchl M.; Qiu W.; Tessier D.; Fenster A. ,2013,IEEE Transactions on Medical Imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#4042,https://dx.doi.org/10.1016/j.media.2008.03.003,Automatic recognition of the common carotid artery in longitudinal ultrasound B-mode scans,Rossi A.C.; Brands P.J.; Hoeks A.P.G. ,2008,Medical Image Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#4518,,Comparing x-ray to artificial intelligence guidance in keyhole aortic aneurysm surgery,,2021,"A randomised controlled trial to assess the clinical-, technical- and cost-effectiveness of a cloud-based, ARtificially Intelligent image fusion system in comparison to standard treatment to guide endovascular Aortic aneurysm repair (ARIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#6699,10.1117/12.878128,Robust and fast abdominal aortic aneurysm centerline detection for rupture risk prediction,"Zhang, H; Finol, EA",2011,MEDICAL IMAGING 2011: COMPUTER-AIDED DIAGNOSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#6700,,Robust Edge Detection Method for the Segmentation of Diabetic Foot Ulcer Images,"Mwawado, R; Maiseli, B; Dida, M",2020,ENGINEERING TECHNOLOGY & APPLIED SCIENCE RESEARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#6767,10.1016/j.infrared.2020.103219,Computer aided detection of diabetic foot ulcer using asymmetry analysis of texture and temperature features,"Saminathan, J; Sasikala, M; Narayanamurthy, V; Rajesh, K; Arvind, R",2020,INFRARED PHYSICS & TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#6777,,A Java framework for analysing and processing wound images for medical education,"Prodan, A; Rusu, M; Campean, R; Prodan, R",2006,20TH EUROPEAN CONFERENCE ON MODELLING AND SIMULATION ECMS 2006: MODELLING METHODOLOGIES AND SIMULATION: KEY TECHNOLOGIES IN ACADEMIA AND INDUSTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#6818,,Design and Development of Graphical User Interface (GUI) with MATLAB for Early Detection of Diabetic Foot Ulcers using Infrared Imaging,"IEEE; Al Qalhati, NSJM; Hussain, SA; Singh, AV",2018,"2018 7TH INTERNATIONAL CONFERENCE ON RELIABILITY, INFOCOM TECHNOLOGIES AND OPTIMIZATION (TRENDS AND FUTURE DIRECTIONS) (ICRITO) (ICRITO)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#6857,10.1109/ISBI.2009.5193182,CAROTID ARTERY SEGMENTATION AND PLAQUE QUANTIFICATION IN CTA,"IEEE; Vukadinovic, D; van Walsum, T; Rozie, S; de Weert, T; Manniesing, R; van der Lugt, A; Niessen, W",2009,"2009 IEEE INTERNATIONAL SYMPOSIUM ON BIOMEDICAL IMAGING: FROM NANO TO MACRO, VOLS 1 AND 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#6863,10.1007/978-3-031-43987-2_29,Interpretable Deep Biomarker for Serial Monitoring of Carotid Atherosclerosis Based on Three-Dimensional Ultrasound Imaging,"Chen, XL; Fan, XQ; Chiu, B",2023,"MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION, MICCAI 2023, PT VI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#6892,10.3390/electronics10050571,Algorithm for Automated Foot Detection in Thermal and Optical Images for Temperature Asymmetry Analysis,"Guzaitis, J; Kadusauskiene, A; Raisutis, R",2021,ELECTRONICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#6912,10.1109/ACCESS.2019.2955448,Three-Dimensional Reconstruction of Abdominal Aortic Aneurysm Based on Compressive Sensing With Iterative Optimization and Its Application in 3D Printing,"Ren, XG; Wu, Y; Wang, L; Yan, XQ; Zhang, L; Cao, ZY; Lin, HX",2019,IEEE ACCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#6944,10.3390/s22103835,Segmentation of Plantar Foot Thermal Images Using Prior Information,"Bougrine, A; Harba, R; Canals, R; Ledee, R; Jabloun, M; Villeneuve, A",2022,SENSORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#6950,10.1117/1.JBO.20.2.026003,Automatic detection of diabetic foot complications with infrared thermography by asymmetric analysis,"Liu, C; van Netten, JJ; van Baal, JG; Bus, SA; van der Heijden, F",2015,JOURNAL OF BIOMEDICAL OPTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#6977,,Implementation and Comparison of Two Image Segmentation Techniques on Thermal Foot Images and Detection of Ulceration using Asymmetry,"IEEE; Nandagopan, GL; Haripriya, AB",2016,"2016 INTERNATIONAL CONFERENCE ON COMMUNICATION AND SIGNAL PROCESSING (ICCSP), VOL. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#6990,,Identification and Evaluation on Diabetic Foot Injury by Computer Vision,"IEEE; Solis-Sanchez, LO; Ortiz-Rodriguez, JM; Castañeda-Miranda, R; Martinez-Blanco, MR; Ornelas-Vargas, G; Galvan-Tejada, JI; Galvan-Tejada, CE; Celaya-Padilla, JM; Castañeda-Miranda, CL",2016,PROCEEDINGS 2016 IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL TECHNOLOGY (ICIT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#6994,10.1016/j.infrared.2015.09.022,Automatic classification of thermal patterns in diabetic foot based on morphological pattern spectrum,"Hernandez-Contreras, D; Peregrina-Barreto, H; Rangel-Magdaleno, J; Ramirez-Cortes, J; Renero-Carrillo, F",2015,INFRARED PHYSICS & TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7051,,Automatic Lumen Segmentation in CT and PC-MR Images of Abdominal Aortic Aneurysm,"IEEE; Almuntashri, A; Finol, E; Agaian, S",2012,"PROCEEDINGS 2012 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN, AND CYBERNETICS (SMC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7067,10.34028/iajit/20/2/8,Highly Accurate Grey Neural Network Classifier for an Abdominal Aortic Aneurysm Classification Based on Image Processing Approach,"Bose, ASC; Ramesh, V",2023,INTERNATIONAL ARAB JOURNAL OF INFORMATION TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7085,10.1109/ultsym.2019.8926064,Attenuation Compensation Comparison for Human Carotid Plaque Characterization Using Spectral Analysis of Backscattered Ultrasound,"IEEE; James, S; Fedewa, R; Lyden, S; Vince, DG",2019,2019 IEEE INTERNATIONAL ULTRASONICS SYMPOSIUM (IUS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7087,10.1007/s11042-022-12117-6,Projection network with Spatio-temporal information: 2D+time DSA to 2D aorta segmentation,"Sun, WY; He, YT; Ge, RJ; Yang, GY; Chen, Y; Shu, HZ",2022,MULTIMEDIA TOOLS AND APPLICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7090,10.1109/ISBI.2009.5192976,HYBRID DEFORMABLE MODEL FOR ANEURYSM SEGMENTATION,"IEEE; Demirci, S; Lejeune, G; Navab, N",2009,"2009 IEEE INTERNATIONAL SYMPOSIUM ON BIOMEDICAL IMAGING: FROM NANO TO MACRO, VOLS 1 AND 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7092,10.1109/ISPA.2000.914904,3-D deformable model for abdominal aortic aneurysm segmentation from CT images,"Loncaric, S; Subasic, M; Sorantin, E",2000,IWISPA 2000: PROCEEDINGS OF THE FIRST INTERNATIONAL WORKSHOP ON IMAGE AND SIGNAL PROCESSING AND ANALYSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7101,10.1117/12.481367,Model-based segmentation of abdominal aortic aneurysms in CTA images,"de Bruijne, M; van Ginneken, B; Niessen, WJ; Loog, M; Viergever, MA",2003,"MEDICAL IMAGING 2003: IMAGE PROCESSING, PTS 1-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7121,10.1117/12.467188,Active shape model based segmentation of abdominal aortic aneurysms in CTA images,"de Bruijne, M; van Ginneken, B; Niessen, WJ; Maintz, JBA; Viergever, MA",2002,"MEDICAL IMAGING 2002: IMAGE PROCESSING, VOL 1-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7143,10.1109/IUS52206.2021.9593467,"Automatic Classification of Human Carotid Plaque Features, <i>In Vivo</i>, Using Multiple Forms of ARFI Data","IEEE; Torres, G; Caughey, MC; Anand, K; Homeister, JW; Farber, MA; Gallippi, CM",2021,INTERNATIONAL ULTRASONICS SYMPOSIUM (IEEE IUS 2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
